Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Bacteria_24k	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Lle-CNas_017.clmp.fp2_r1_screen	77495.0	7604.0	6488.0	3620.0	1440.0	1022.0	589.0	552.0	52.0	0.0	470490.0	4649272.0
Lle-CNas_017.clmp.fp2_r2_screen	79290.0	7680.0	6652.0	3725.0	1476.0	1023.0	665.0	580.0	14.0	0.0	474510.0	4643009.0
Lle-CNas_018.clmp.fp2_r1_screen	32734.0	3629.0	2792.0	1764.0	696.0	480.0	294.0	229.0	9.0	0.0	177557.0	2073390.0
Lle-CNas_018.clmp.fp2_r2_screen	33370.0	3640.0	2803.0	1628.0	663.0	405.0	313.0	220.0	9.0	0.0	179197.0	2071326.0
Lle-CNas_019.clmp.fp2_r1_screen	20869.0	2715.0	1751.0	1088.0	623.0	328.0	203.0	134.0	7.0	0.0	112157.0	1464186.0
Lle-CNas_019.clmp.fp2_r2_screen	21342.0	2688.0	1820.0	1093.0	587.0	297.0	170.0	146.0	3.0	0.0	113493.0	1462422.0
Lle-CNas_020.clmp.fp2_r1_screen	31617.0	3317.0	2600.0	1385.0	622.0	461.0	265.0	229.0	2.0	0.0	167829.0	2041418.0
Lle-CNas_020.clmp.fp2_r2_screen	32415.0	3211.0	2627.0	1377.0	673.0	454.0	221.0	239.0	8.0	0.0	169577.0	2038943.0
Lle-CNas_021.clmp.fp2_r1_screen	51758.0	5578.0	4417.0	3210.0	1273.0	738.0	419.0	380.0	12.0	0.0	287143.0	3669198.0
Lle-CNas_021.clmp.fp2_r2_screen	53552.0	5605.0	4495.0	3133.0	1280.0	754.0	421.0	411.0	12.0	0.0	291302.0	3663161.0
Lle-CNas_022.clmp.fp2_r1_screen	29762.0	3303.0	2553.0	1618.0	948.0	397.0	254.0	274.0	13.0	0.0	152432.0	2025506.0
Lle-CNas_022.clmp.fp2_r2_screen	30268.0	3253.0	2565.0	1503.0	1013.0	389.0	252.0	275.0	6.0	0.0	154248.0	2023288.0
Lle-CNas_023.clmp.fp2_r1_screen	45557.0	5506.0	3931.0	2474.0	1294.0	632.0	364.0	318.0	29.0	0.0	246642.0	3210991.0
Lle-CNas_023.clmp.fp2_r2_screen	47203.0	5332.0	4073.0	2335.0	1279.0	619.0	366.0	299.0	7.0	0.0	248048.0	3208177.0
Lle-CNas_024.clmp.fp2_r1_screen	26688.0	3118.0	2320.0	1336.0	486.0	386.0	233.0	176.0	6.0	0.0	128914.0	1794025.0
Lle-CNas_024.clmp.fp2_r2_screen	27161.0	2963.0	2317.0	1250.0	522.0	399.0	229.0	166.0	4.0	0.0	129631.0	1793046.0
